comp_name;inn;ogrn;full_name;short_name;addr;form;date;dividents;audit_name;audit_inn;dir_q
"АО ""ЭЛИОН""";7735064331;1027700063;"Акционерное общество ""ЭЛИОН""";"АО ""ЭЛИОН""";индекс 124460, город Москва, город Зеленоград, проспект Панфиловский, дом 4;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Финансовые и бухгалтерские консультанты;7701017140;Вопрос не поднимался
"ПАО ""МТС-Банк""";7702045051;1027739053;"Публичное акционерное общество ""МТС - Банк""";"ПАО ""МТС - Банк""";индекс 115432, город Москва, проспект Андропова, дом 18, корпус 1;заочное голосование;29/06/2020;Принято решение не выплачивать дивиденды;МТС-Банк;7703097990;Вопрос поднимался
"АО ""Ситиматик""";7725727149;1117746488;"Акционерное общество ""Управление отходами""";"АО ""Управление отходами""";город Москва;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Аудит и право;;Вопрос поднимался
ПАО «Европейская Электротехника»;7716814300;1167746062;"Публичное акционерное общество ""Европейская Электротехника""";"ПАО ""Европейская Электротехника""";индекс 129344, город Москва, улица Лётчика Бабушкина, дом 1, корпус 3;заочное голосование;26/06/2020;Принято решение не выплачивать дивиденды;Европейская Электротехника;7701017140;Вопрос поднимался
"АО ""Борхиммаш""";3604001059;1023600609;"Акционерное общество ""Борисоглебский ордена Трудового Красного Знамени завод химического машиностроения""";"АО ""Борхиммаш""";индекс 397164, область Воронежская, город Борисоглебск, улица Проходная;заочное;30/06/2020;Принято решение выплачивать дивиденды;;;Вопрос не поднимался
"АО ""Социальная сфера - М""";1326185581;1021300973;"Акционерное общество ""Социальная сфера - М""";"АО ""Социальная сфера - М""";индекс 430003, республика Мордовия, город Саранск, проспект Ленина, дом 50;заочное голосование;30/06/2020;Принято решение выплачивать дивиденды;Аудиторский дом;;Вопрос не поднимался
"АО ""Родина""";2334006686;1022303977;"Публичное акционерное общество ""Родина""";"ПАО ""Родина""";индекс 353715, край Краснодарский, улица Красная;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Аудит. Налоги. Консалтинг;6163132607;Вопрос не поднимался
"АО “Кубанская степь""";2334005509;1022303979;"Публичное акционерное общество “ Кубанская степь """;"ПАО “ Кубанская степь """;край Краснодарский, посёлок Кубанская, улица Набережная;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Аудит. Налоги. Консалтинг;6163132607;Вопрос не поднимался
"ОАО ""ВЭЛКОНТ""";4341009610;1024300749;"Открытое акционерное общество ""Электромашиностроительный завод"" ВЭЛКОНТ """;"ОАО ""ВЭЛКОНТ""";индекс 613047, область Кировская, город Кирово-Чепецк, улица Ленина, дом 1;заочное голосование;29/06/2020;Вопрос не поднимался;;;Вопрос не поднимался
"ОАО ""АМЗ""";5910004528;1025901675;"Открытое акционерное общество ""Александровский машиностроительный завод""";"ОАО ""АМЗ""";индекс 618320, город Александровск, край Пермский, улица Войкова;заочное голосование;30/06/2020;Принято решение не выплачивать дивиденды;Аудит - информ;;Вопрос не поднимался
